contactsandfaults_id,type,isconcealed,existenceconfidence,identityconfidence,locationconfidencemeters,label,datasourceid,notes,symbol
GMA.ContactsAndFaults.13716,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13717,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13718,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13952,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13719,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13720,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13721,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13722,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13723,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13724,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13725,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13726,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13727,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13728,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13729,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13730,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
