otherlines_id,type,existenceconfidence,identityconfidence,locationconfidencemeters,label,datasourceid,notes,symbol
GMA.OtherLines.110,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.198,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.204,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.206,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.112,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.114,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.116,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.156,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.158,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.160,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.162,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.164,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.166,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.118,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.120,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.122,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.124,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.126,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.128,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.130,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.132,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.134,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.136,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.200,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.138,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.140,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.142,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
